ERROR_CODE,MODEL_NAME,PAIR_REPAIRING,MATERIAL_REPAIR_SAME_TIME,COUNT,PROBABILITY
4I07,CDM80,單一,MB,1,1.0
4I09,CDM80,單一,HDD,1,1.0
4I14,CDM80,單一,HDD,1,1.0
4I16,CDM80,單一,RAM,1,1.0
4I18,CDM80,單一,HDD,1,1.0
4I27,CDM80,單一,ANTENNA,1,1.0
4I31,CDM80,單一,HDD,1,1.0
4I49,CDM80,單一,MB,1,1.0
4I49,CDM80,組合,HDD__MB,1,1.0
6A04,CDM80,單一,LCD PANEL,3,1.0
6K05,CDM80,單一,KB,1,1.0
6Q16,CDM80,單一,BIG DOOR,1,1.0
6Q25,CDM80,單一,BIG DOOR,1,1.0
6Q27,CDM80,單一,WLAN,1,0.5
6Q27,CDM80,單一,KB,1,0.5
6U10,CDM80,單一,UPPER,2,1.0
6U30,CDM80,單一,UPPER,1,1.0
6U91,CDM80,單一,UPPER,2,0.6666666666666666
6U91,CDM80,單一,LOGIC UPPER,1,0.3333333333333333
4A03,DAJ00,單一,MB,2,1.0
4A04,DAJ00,單一,BATT,1,1.0
4A04,DAJ00,組合,BATT__LCD__MB,1,0.5
4A04,DAJ00,組合,LCD__MB,1,0.5
4A08,DAJ00,單一,MB,1,1.0
4A09,DAJ00,單一,MB,1,0.5
4A09,DAJ00,單一,HDD,1,0.5
4A10,DAJ00,組合,LCD__MB,1,1.0
4B02,DAJ00,單一,MB,2,1.0
4B05,DAJ00,單一,USH/B,2,0.5
4B05,DAJ00,單一,FPRINT,1,0.25
4B05,DAJ00,單一,CAMERA,1,0.25
4B05,DAJ00,組合,FPRINT__MB,1,1.0
4B11,DAJ00,單一,LCD,3,0.75
4B11,DAJ00,單一,MB,1,0.25
4B16,DAJ00,單一,MB,1,1.0
4C03,DAJ00,單一,LCD,3,1.0
4C06,DAJ00,組合,LCD__MB,2,1.0
4D09,DAJ00,單一,MB,2,1.0
4D10,DAJ00,單一,MB,2,1.0
4E03,DAJ00,單一,MB,2,1.0
4E04,DAJ00,單一,MB,1,1.0
4E06,DAJ00,組合,SMART CARD__USH/B,1,1.0
4E07,DAJ00,單一,MB,2,0.6666666666666666
4E07,DAJ00,單一,USH/B,1,0.3333333333333333
4E09,DAJ00,單一,MB,3,1.0
4E10,DAJ00,單一,MB,2,1.0
4G01,DAJ00,單一,MB,2,1.0
4G05,DAJ00,單一,MB,1,1.0
4H07,DAJ00,單一,HDD,1,1.0
4H08,DAJ00,單一,MB,6,0.8571428571428571
4H08,DAJ00,單一,CAMERA,1,0.14285714285714285
4H08,DAJ00,組合,CAMERA__MB,1,1.0
4I01,DAJ00,單一,MB,3,1.0
4I02,DAJ00,單一,MB,1,1.0
4I04,DAJ00,單一,MB,2,1.0
4I09,DAJ00,單一,MB,1,1.0
4I14,DAJ00,單一,HDD,1,1.0
4I18,DAJ00,單一,HDD,2,0.5
4I18,DAJ00,單一,MB,2,0.5
4I18,DAJ00,組合,HDD__MB,1,1.0
4I34,DAJ00,單一,MB,2,1.0
4I43,DAJ00,單一,MB,1,1.0
4I49,DAJ00,組合,HDD__MB,1,1.0
6A91,DAJ00,單一,LCD,1,1.0
6A94,DAJ00,單一,LCD,1,1.0
6A95,DAJ00,單一,LCD,1,1.0
6B94,DAJ00,單一,LCD,1,1.0
6C03,DAJ00,單一,LCD COVER,2,1.0
6C12,DAJ00,單一,LCD COVER,6,0.8571428571428571
6C12,DAJ00,單一,LCD,1,0.14285714285714285
6C12,DAJ00,組合,LCD__LCD COVER,1,1.0
6C15,DAJ00,單一,LCD COVER,2,1.0
6C17,DAJ00,單一,LCD COVER,1,1.0
6C18,DAJ00,單一,LCD COVER,3,1.0
6C22,DAJ00,單一,LCD COVER,1,1.0
6C92,DAJ00,單一,LCD COVER,1,1.0
6C94,DAJ00,單一,LCD COVER,1,1.0
6C99,DAJ00,單一,LCD COVER,1,1.0
6L97,DAJ00,單一,KICKSTAND,1,1.0
6Q16,DAJ00,單一,LCD COVER,1,1.0
6Q37,DAJ00,單一,KICKSTAND,1,1.0
6U50,DAJ00,單一,MB,2,1.0
1C43,DAM01,單一,LCD,9,1.0
1C43,DAM01,組合,LCD__LOGIC LOWER,1,1.0
4A03,DAM01,單一,MB,4,1.0
4A03,DAM01,組合,LCD__MB,2,1.0
4A04,DAM01,單一,BATT,1,1.0
4A04,DAM01,組合,BATT__MB,1,1.0
4A05,DAM01,單一,MB,5,0.8333333333333334
4A05,DAM01,單一,RAM,1,0.16666666666666666
4A05,DAM01,組合,LCD__MB,1,1.0
4A06,DAM01,單一,MB,1,1.0
4A07,DAM01,單一,LCD,3,0.75
4A07,DAM01,單一,MB,1,0.25
4A07,DAM01,組合,LCD__MB,2,1.0
4A09,DAM01,單一,MB,2,0.6666666666666666
4A09,DAM01,單一,HDD,1,0.3333333333333333
4A09,DAM01,組合,HDD__MB,1,1.0
4A10,DAM01,單一,MB,1,1.0
4A12,DAM01,單一,MB,2,1.0
4B01,DAM01,單一,KB,1,1.0
4B05,DAM01,單一,MB,1,1.0
4B11,DAM01,單一,LCD,1,1.0
4B14,DAM01,單一,MB,2,1.0
4B16,DAM01,單一,MB,1,1.0
4B17,DAM01,單一,LCD,1,1.0
4C03,DAM01,單一,LCD,4,1.0
4C03,DAM01,組合,LCD__MB,1,1.0
4C04,DAM01,單一,MB,1,1.0
4C06,DAM01,單一,MB,1,0.5
4C06,DAM01,單一,LCD,1,0.5
4C06,DAM01,組合,LCD__MB,1,1.0
4C09,DAM01,單一,LCD,1,1.0
4C09,DAM01,組合,LCD__MB,1,1.0
4D01,DAM01,單一,MB,1,1.0
4D10,DAM01,單一,LCD,4,0.8
4D10,DAM01,單一,MB,1,0.2
4E01,DAM01,單一,MB,1,1.0
4E02,DAM01,單一,MB,4,1.0
4E03,DAM01,單一,MB,2,1.0
4E09,DAM01,單一,MB,2,1.0
4F08,DAM01,組合,KB__MB,1,1.0
4F12,DAM01,單一,LCD,1,1.0
4G01,DAM01,單一,MB,1,1.0
4G05,DAM01,單一,MB,2,1.0
4H01,DAM01,單一,MB,1,1.0
4H05,DAM01,單一,MB,1,1.0
4H06,DAM01,單一,RAM,1,1.0
4H06,DAM01,組合,MB__RAM__THERMAL,1,1.0
4H09,DAM01,單一,MB,1,1.0
4H12,DAM01,單一,WLAN,1,1.0
4I02,DAM01,單一,MB,4,1.0
4I03,DAM01,單一,MB,1,1.0
4I04,DAM01,單一,MB,3,1.0
4I07,DAM01,單一,MB,7,0.875
4I07,DAM01,單一,LCD,1,0.125
4I07,DAM01,組合,LCD__MB,1,1.0
4I08,DAM01,單一,MB,1,1.0
4I09,DAM01,單一,MB,1,1.0
4I16,DAM01,單一,RAM,1,0.5
4I16,DAM01,單一,MB,1,0.5
4I19,DAM01,單一,MB,1,1.0
4I21,DAM01,單一,MB,1,1.0
4I27,DAM01,單一,LCD,1,1.0
4I38,DAM01,單一,MB,3,1.0
4I44,DAM01,單一,RAM,1,1.0
4I46,DAM01,單一,MB,1,1.0
6A03,DAM01,單一,LCD,1,1.0
6A04,DAM01,單一,LCD,3,1.0
6A24,DAM01,單一,LCD,1,1.0
6A93,DAM01,單一,LCD,1,1.0
6A95,DAM01,單一,LCD,1,1.0
6A97,DAM01,單一,LCD,1,1.0
6A99,DAM01,單一,LCD,2,1.0
6B14,DAM01,單一,LCD,4,0.6666666666666666
6B14,DAM01,單一,HINGE CAP,2,0.3333333333333333
6B15,DAM01,單一,LCD,1,1.0
6B17,DAM01,單一,LCD,17,1.0
6B17,DAM01,組合,LCD__WLAN,1,1.0
6B22,DAM01,單一,LCD,1,0.5
6B22,DAM01,單一,LOGIC UPPER,1,0.5
6B23,DAM01,單一,LCD,1,1.0
6B25,DAM01,單一,LCD,1,1.0
6B26,DAM01,組合,LCD__LOGIC UPPER,1,1.0
6B91,DAM01,單一,LCD,1,1.0
6B91,DAM01,組合,HDD__MB,1,1.0
6B92,DAM01,單一,LCD,2,1.0
6B99,DAM01,單一,LCD,1,0.5
6B99,DAM01,單一,BADGE,1,0.5
6C01,DAM01,單一,LCD,1,1.0
6C17,DAM01,單一,LCD,5,1.0
6C23,DAM01,單一,LCD,1,1.0
6C91,DAM01,單一,LCD,6,1.0
6C92,DAM01,單一,LCD,1,1.0
6C93,DAM01,單一,LCD,3,1.0
6C94,DAM01,單一,LCD,4,1.0
6C95,DAM01,單一,LCD,2,1.0
6C96,DAM01,單一,LCD,2,1.0
6C97,DAM01,單一,LCD,6,1.0
6C98,DAM01,單一,LCD,2,1.0
6C99,DAM01,單一,LCD,3,1.0
6K05,DAM01,單一,KB,3,1.0
6L91,DAM01,單一,LOGIC LOWER,1,0.5
6L91,DAM01,單一,LCD,1,0.5
6L92,DAM01,單一,LOGIC LOWER,1,1.0
6L93,DAM01,單一,LOGIC LOWER,3,1.0
6L95,DAM01,單一,LOGIC LOWER,2,1.0
6L97,DAM01,單一,LOGIC LOWER,2,0.6666666666666666
6L97,DAM01,單一,LCD,1,0.3333333333333333
6L97,DAM01,組合,KB__LOGIC UPPER,1,1.0
6L98,DAM01,單一,LOGIC LOWER,1,0.5
6L98,DAM01,單一,LCD,1,0.5
6L99,DAM01,單一,LOGIC LOWER,1,1.0
6Q10,DAM01,單一,LCD,1,1.0
6Q26,DAM01,單一,LCD,16,1.0
6Q27,DAM01,單一,MB,1,1.0
6Q27,DAM01,組合,LCD__RAM,1,0.5
6Q27,DAM01,組合,LCD__LOGIC UPPER,1,0.5
6Q29,DAM01,單一,MB,1,1.0
6Q38,DAM01,單一,LOGIC UPPER,1,1.0
6U10,DAM01,單一,LOGIC UPPER,1,1.0
6U12,DAM01,單一,LOGIC UPPER,1,1.0
6U17,DAM01,單一,LOGIC LOWER,1,1.0
6U19,DAM01,單一,LOGIC UPPER,1,1.0
6U23,DAM01,單一,LOGIC UPPER,2,1.0
6U30,DAM01,組合,LOGIC UPPER__MB,1,1.0
6U37,DAM01,單一,FPRINT,2,1.0
6U41,DAM01,單一,TOUCH PAD,1,1.0
6U50,DAM01,單一,LOGIC UPPER,1,1.0
6U53,DAM01,單一,MB,1,1.0
6U92,DAM01,單一,LOGIC UPPER,2,1.0
6U93,DAM01,單一,LOGIC UPPER,4,1.0
6U95,DAM01,單一,LOGIC UPPER,2,1.0
6U96,DAM01,單一,LOGIC UPPER,3,1.0
6U97,DAM01,單一,LOGIC UPPER,1,0.5
6U97,DAM01,單一,LOGIC LOWER,1,0.5
6U98,DAM01,單一,LOGIC UPPER,1,1.0
6U99,DAM01,單一,LOGIC UPPER,2,1.0
4A03,DAP10,單一,MB,4,1.0
4A04,DAP10,單一,MB,1,1.0
4A05,DAP10,單一,MB,2,1.0
4A05,DAP10,組合,MB__VGA/B,2,1.0
4A06,DAP10,單一,MB,1,0.5
4A06,DAP10,單一,RAM,1,0.5
4A09,DAP10,單一,MB,3,0.75
4A09,DAP10,單一,HDD,1,0.25
4A09,DAP10,組合,HDD__MB__VGA/B,1,1.0
4B01,DAP10,單一,KB,2,1.0
4B05,DAP10,單一,USH/B,1,1.0
4B05,DAP10,組合,FFC__FPRINT__USH/B,1,1.0
4B06,DAP10,單一,MB,1,1.0
4B14,DAP10,單一,THERMAL,1,0.5
4B14,DAP10,單一,MB,1,0.5
4B15,DAP10,單一,THERMAL,1,1.0
4B17,DAP10,單一,MB,3,1.0
4C01,DAP10,單一,LCD PANEL,2,1.0
4D01,DAP10,單一,MB,1,1.0
4D04,DAP10,單一,VGA/B,2,1.0
4E02,DAP10,單一,MB,1,1.0
4E03,DAP10,單一,MB,1,1.0
4E05,DAP10,單一,MB,1,1.0
4E10,DAP10,單一,MB,1,1.0
4F01,DAP10,單一,MB,1,1.0
4F02,DAP10,單一,MB,1,1.0
4G03,DAP10,單一,CAMERA,1,1.0
4H01,DAP10,單一,VGA/B,1,1.0
4H05,DAP10,單一,WLAN,1,1.0
4H05,DAP10,組合,ANTENNA__MB__WLAN,1,1.0
4H07,DAP10,組合,HDD__MB,1,1.0
4H09,DAP10,單一,VGA/B,2,0.6666666666666666
4H09,DAP10,單一,MB,1,0.3333333333333333
4H09,DAP10,組合,MB__VGA/B,1,1.0
4H12,DAP10,單一,WLAN,1,1.0
4I01,DAP10,單一,VGA/B,1,0.5
4I01,DAP10,單一,MB,1,0.5
4I02,DAP10,單一,MB,1,1.0
4I02,DAP10,組合,MB__VGA/B__WLAN,1,1.0
4I04,DAP10,單一,HDD,2,1.0
4I07,DAP10,單一,MB,6,1.0
4I07,DAP10,組合,MB__RAM__VGA/B,1,0.5
4I07,DAP10,組合,HDD__MB,1,0.5
4I08,DAP10,單一,MB,2,1.0
4I09,DAP10,單一,MB,2,1.0
4I10,DAP10,單一,MB,2,1.0
4I11,DAP10,單一,MB,1,1.0
4I14,DAP10,單一,HDD,2,1.0
4I16,DAP10,單一,RAM,1,1.0
4I23,DAP10,單一,WLAN,2,0.5
4I23,DAP10,單一,MB,2,0.5
4I23,DAP10,組合,MB__WLAN,1,1.0
4I35,DAP10,單一,MB,2,1.0
4I37,DAP10,單一,MB,2,1.0
4I45,DAP10,單一,MB,3,1.0
4I48,DAP10,單一,MB,1,0.5
4I48,DAP10,單一,BATT,1,0.5
4I48,DAP10,組合,CABLE__MB,1,1.0
4I49,DAP10,單一,MB,4,1.0
4I49,DAP10,組合,HDD__MB,1,1.0
6A04,DAP10,單一,LCD PANEL,1,1.0
6A09,DAP10,單一,LCD PANEL,1,1.0
6A19,DAP10,單一,LCD PANEL,1,1.0
6A96,DAP10,單一,LCD PANEL,1,1.0
6A99,DAP10,單一,LCD PANEL,1,1.0
6B14,DAP10,單一,FPRINT,1,1.0
6C93,DAP10,單一,LCD COVER,1,1.0
6C95,DAP10,單一,LCD COVER,1,1.0
6C99,DAP10,單一,LCD COVER,1,1.0
6K05,DAP10,單一,KB,1,1.0
6L11,DAP10,單一,MB,1,1.0
6L91,DAP10,單一,LOGIC LOWER,1,1.0
6L96,DAP10,單一,LOGIC LOWER,1,1.0
6L97,DAP10,組合,KB__LOGIC LOWER,1,1.0
6L98,DAP10,單一,LOGIC LOWER,1,1.0
6L99,DAP10,單一,BIG DOOR,1,1.0
6M01,DAP10,單一,VGA/B,1,1.0
6Q08,DAP10,單一,THERMAL,1,1.0
6Q17,DAP10,單一,BIG DOOR,1,1.0
6Q29,DAP10,單一,MB,2,0.6666666666666666
6Q29,DAP10,單一,WLAN,1,0.3333333333333333
6U01,DAP10,單一,LOGIC LOWER,1,1.0
6U08,DAP10,單一,FPRINT,5,1.0
6U26,DAP10,單一,LOGIC UPPER,1,1.0
6U99,DAP10,單一,UPPER,1,1.0
S013,DAP10,單一,VGA/B,1,1.0
4A05,DAP20,單一,MB,1,1.0
4A05,DAP20,組合,MB__VGA/B,1,1.0
4A09,DAP20,組合,MB__VGA/B,1,1.0
4B07,DAP20,單一,MB,1,1.0
4B08,DAP20,單一,MB,1,1.0
4B17,DAP20,單一,MB,2,1.0
4D03,DAP20,單一,MB,1,1.0
4D10,DAP20,單一,MB,1,1.0
4E02,DAP20,單一,MB,1,1.0
4E02,DAP20,組合,DC IN CABLE__MB,1,1.0
4E03,DAP20,單一,RAM,1,1.0
4E04,DAP20,單一,VGA/B,1,1.0
4E09,DAP20,單一,MB,1,1.0
4E10,DAP20,單一,MB,2,1.0
4G01,DAP20,單一,MB,1,1.0
